State,Year,Quater,Pincode,P_Count,P_Amount
west-bengal,2020,3,711101,111,21032.0
west-bengal,2020,4,700017,187,136281.0
west-bengal,2021,1,700046,750,471141.0
west-bengal,2021,2,712138,724,263805.0
west-bengal,2021,3,712138,1350,480755.0
west-bengal,2021,4,732101,298,252105.0
west-bengal,2022,1,734006,439,402290.0
west-bengal,2022,2,734006,388,358646.0
west-bengal,2022,3,711101,445,430598.0
west-bengal,2022,4,711101,509,510667.0
west-bengal,2023,1,711101,595,657261.0
west-bengal,2023,2,700039,493,598387.0
west-bengal,2023,3,700091,557,680347.0
west-bengal,2023,4,700156,699,1054625.0
west-bengal,2024,1,711101,708,892873.0
west-bengal,2024,2,700156,588,999846.0
west-bengal,2024,3,721301,867,1154574.0
west-bengal,2024,4,721301,1131,1510819.0
